person,height_cm,weight_kg
P001,160.0,69.8
P002,164.5,60.5
P003,155.9,68.8
P004,146.6,50.4
P005,153.2,58.9
P006,,64.3
P007,160.9,79.6
P008,180.1,83.0
P009,152.6,48.5
P010,150.7,55.9
P011,167.3,76.1
P012,165.4,
P013,161.6,60.5
P014,146.0,65.6
P015,159.6,84.6
P016,170.4,76.7
P017,139.8,62.4
P018,153.1,61.8
P019,,63.5
P020,140.7,88.3
P021,132.4,61.0
P022,156.5,62.7
P023,141.0,71.9
P024,164.1,65.3
P025,162.4,64.2
P026,157.2,51.4
P027,122.2,66.8
P028,151.9,60.8
P029,159.3,83.3
P030,161.7,76.1
P031,137.0,66.7
P032,152.8,76.4
P033,145.3,62.2
P034,147.9,
P035,175.9,66.9
P036,147.9,75.2
P037,159.5,48.9
P038,173.3,71.9
P039,151.2,43.4
P040,158.3,38.5
P041,,62.7
P042,161.0,54.4
P043,141.6,69.3
P044,161.1,98.4
P045,180.4,55.4
P046,136.8,58.3
P047,172.9,69.9
P048,161.8,73.9
P049,150.4,64.5
P050,190.0,64.1
P051,171.4,76.8
P052,142.0,74.3
P053,161.1,
P054,168.7,65.9
P055,157.2,67.5
P056,170.2,52.2
P057,159.0,70.6
P058,170.0,55.0
P059,181.6,80.6
P060,149.9,69.7
P001,160.0,69.8
P002,164.5,60.5
P003,155.9,68.8
P004,146.6,50.4
