timestamp,unit_id,cooling_type,load_current_a,voltage_kv,ambient_temp_c,humidity_pct,oil_temp_c,cooling_stage,transformer_age_years,hotspot_temp_c
2025-01-01 00:00:00,T1,ONAN/ONAF,306.0,134.22,15.1,96.9,28.8,0,3,36.2
2025-01-01 01:00:00,T1,ONAN/ONAF,312.9,134.82,12.1,100.0,30.0,0,3,36.2
2025-01-01 02:00:00,T1,ONAN/ONAF,320.3,135.04,12.3,100.0,29.5,0,3,35.1
2025-01-01 03:00:00,T1,ONAN/ONAF,329.4,133.68,14.3,93.2,32.8,0,3,34.9
2025-01-01 04:00:00,T1,ONAN/ONAF,323.6,135.09,11.9,95.3,27.4,0,3,35.6
2025-01-01 05:00:00,T1,ONAN/ONAF,348.9,134.56,10.7,97.5,27.7,0,3,35.5
2025-01-01 06:00:00,T1,ONAN/ONAF,383.0,133.46,12.0,99.8,26.4,0,3,38.2
2025-01-01 07:00:00,T1,ONAN/ONAF,414.7,131.13,14.2,98.6,30.2,0,3,40.8
2025-01-01 08:00:00,T1,ONAN/ONAF,461.4,134.52,15.0,93.2,30.1,0,3,46.5
2025-01-01 09:00:00,T1,ONAN/ONAF,504.1,133.14,15.4,96.5,35.8,1,3,49.9
2025-01-01 10:00:00,T1,ONAN/ONAF,535.7,131.88,19.7,86.6,33.6,1,3,56.5
2025-01-01 11:00:00,T1,ONAN/ONAF,501.8,133.41,22.8,96.1,37.8,1,3,54.8
2025-01-01 12:00:00,T1,ONAN/ONAF,461.2,133.47,23.0,85.0,37.1,1,3,53.5
2025-01-01 13:00:00,T1,ONAN/ONAF,439.4,131.43,23.0,73.3,40.6,1,3,53.7
2025-01-01 14:00:00,T1,ONAN/ONAF,378.5,132.07,25.0,65.8,40.0,0,3,51.5
2025-01-01 15:00:00,T1,ONAN/ONAF,376.9,132.57,24.5,74.4,39.7,0,3,49.7
2025-01-01 16:00:00,T1,ONAN/ONAF,384.1,133.26,25.8,88.1,42.3,0,3,50.5
2025-01-01 17:00:00,T1,ONAN/ONAF,428.9,131.01,23.0,77.6,42.0,0,3,52.5
2025-01-01 18:00:00,T1,ONAN/ONAF,493.9,132.98,22.7,89.5,42.7,0,3,56.4
2025-01-01 19:00:00,T1,ONAN/ONAF,508.9,132.68,21.1,86.2,44.7,1,3,58.2
2025-01-01 20:00:00,T1,ONAN/ONAF,513.7,134.49,20.7,90.1,44.0,1,3,59.6
2025-01-01 21:00:00,T1,ONAN/ONAF,477.8,132.91,18.7,93.1,41.9,1,3,56.4
2025-01-01 22:00:00,T1,ONAN/ONAF,444.7,131.61,18.1,92.5,40.6,1,3,52.7
2025-01-01 23:00:00,T1,ONAN/ONAF,384.8,133.91,16.5,78.3,39.6,0,3,48.1
2025-01-02 00:00:00,T1,ONAN/ONAF,306.0,133.36,13.8,94.2,33.5,0,3,41.8
2025-01-02 01:00:00,T1,ONAN/ONAF,302.6,134.03,12.7,96.4,35.3,0,3,39.3
2025-01-02 02:00:00,T1,ONAN/ONAF,319.7,135.99,14.2,98.1,31.7,0,3,38.3
2025-01-02 03:00:00,T1,ONAN/ONAF,317.1,132.38,13.1,99.7,31.7,0,3,37.6
2025-01-02 04:00:00,T1,ONAN/ONAF,329.4,132.36,12.4,87.8,32.6,0,3,37.8
2025-01-02 05:00:00,T1,ONAN/ONAF,340.6,132.76,14.7,90.1,32.7,0,3,38.8
2025-01-02 06:00:00,T1,ONAN/ONAF,364.3,133.95,17.5,82.5,31.4,0,3,39.7
2025-01-02 07:00:00,T1,ONAN/ONAF,384.0,133.4,18.1,100.0,32.4,0,3,42.7
2025-01-02 08:00:00,T1,ONAN/ONAF,432.2,132.48,19.7,94.4,33.7,0,3,45.5
2025-01-02 09:00:00,T1,ONAN/ONAF,464.1,133.62,20.2,93.8,34.1,0,3,50.3
2025-01-02 10:00:00,T1,ONAN/ONAF,480.8,132.15,21.4,88.2,40.4,0,3,54.4
2025-01-02 11:00:00,T1,ONAN/ONAF,479.5,132.84,24.5,90.3,40.3,0,3,56.1
2025-01-02 12:00:00,T1,ONAN/ONAF,433.0,132.45,24.7,86.3,42.6,0,3,55.7
2025-01-02 13:00:00,T1,ONAN/ONAF,395.1,132.52,23.5,86.6,45.4,0,3,53.9
2025-01-02 14:00:00,T1,ONAN/ONAF,361.5,135.26,25.0,86.1,43.1,0,3,51.9
2025-01-02 15:00:00,T1,ONAN/ONAF,337.4,134.89,26.0,79.9,42.3,0,3,52.1
2025-01-02 16:00:00,T1,ONAN/ONAF,369.7,132.42,26.3,86.4,42.8,0,3,52.6
2025-01-02 17:00:00,T1,ONAN/ONAF,400.3,132.39,25.9,83.7,41.7,0,3,54.9
2025-01-02 18:00:00,T1,ONAN/ONAF,461.5,130.64,24.5,84.7,43.0,0,3,59.9
2025-01-02 19:00:00,T1,ONAN/ONAF,552.8,133.57,23.9,81.6,47.9,1,3,65.2
2025-01-02 20:00:00,T1,ONAN/ONAF,563.5,132.37,21.6,93.9,45.5,1,3,66.7
2025-01-02 21:00:00,T1,ONAN/ONAF,540.4,134.94,19.7,99.6,44.7,1,3,63.8
2025-01-02 22:00:00,T1,ONAN/ONAF,504.0,133.58,19.8,87.5,46.0,1,3,60.1
2025-01-02 23:00:00,T1,ONAN/ONAF,451.7,130.58,17.7,89.0,42.9,1,3,55.4
2025-01-03 00:00:00,T1,ONAN/ONAF,344.7,133.62,17.8,92.4,41.6,0,3,47.8
2025-01-03 01:00:00,T1,ONAN/ONAF,331.4,136.45,16.6,96.5,38.5,0,3,46.2
