unit_id,age_years,ambient_c,load_pu,top_oil_c,hotspot_c,ageing_rate,voltage_dev_pct,load_current_a,h2_ppm,ch4_ppm,c2h6_ppm,c2h4_ppm,c2h2_ppm,co_ppm,moisture_ppm,pd_pc,oil_bdv_kv,fault_type,health_index,health_class
TX000,23.5,6.4,0.52,33.1,40.8,0.0,-1.89,91.9,18.4,8.9,8.7,2.5,1.77,902.3,22.2,62.4,57.0,normal,81.1,1
TX000,23.5,22.3,0.644,54.0,64.9,0.005,-0.89,110.9,1369.1,294.6,82.6,342.4,1030.21,865.2,29.4,3118.3,44.9,D1,42.7,3
TX000,23.5,23.0,0.612,53.4,63.4,0.004,0.49,109.3,113.7,442.0,227.2,535.8,7.81,1010.0,25.6,82.8,47.8,T2,58.6,2
TX001,20.9,10.9,0.716,45.3,58.2,0.002,1.29,128.0,12.8,6.6,6.8,9.4,1.07,850.2,13.8,50.4,50.9,normal,85.5,0
TX001,20.9,31.7,0.742,67.2,80.8,0.039,-0.68,131.6,749.5,124.8,28.8,34.6,7.82,825.2,23.4,875.1,46.5,PD,51.5,3
TX001,20.9,13.2,0.877,53.8,71.6,0.013,-3.18,147.5,660.2,122.4,31.0,20.7,6.32,754.2,21.3,101.5,48.4,PD,62.9,2
TX001,20.9,27.6,0.599,57.5,67.1,0.007,-3.8,106.2,13.4,15.7,6.5,7.1,1.18,744.6,16.7,81.0,,normal,83.3,1
TX002,22.8,19.2,0.827,57.9,74.1,0.017,3.22,139.5,17.2,18.1,7.5,1.8,0.63,832.0,27.0,0.0,55.9,normal,79.5,1
TX002,22.8,11.6,0.907,53.2,72.1,0.013,-4.69,160.0,1002.4,200.2,82.1,897.6,2079.61,991.9,38.7,331.3,45.6,D2,44.7,3
TX002,22.8,22.7,0.993,67.5,89.2,0.106,-1.1,167.6,228.7,469.8,160.9,271.5,12.27,1039.0,33.2,89.5,45.5,T2,51.1,3
TX003,11.6,16.6,0.948,59.7,79.9,0.035,-2.81,166.7,6.3,10.0,6.7,2.9,0.15,463.0,17.2,19.1,54.5,normal,88.4,0
TX003,11.6,25.4,0.756,61.4,75.5,0.021,-3.01,138.9,12.4,11.3,6.2,2.2,1.96,560.6,21.5,19.1,57.7,normal,86.4,0
TX003,11.6,22.4,0.703,56.3,68.9,0.009,0.2,125.5,18.4,2.5,2.5,4.9,0.4,521.5,14.7,120.5,58.5,normal,85.6,0
TX003,11.6,13.0,0.604,43.1,52.9,0.001,-0.34,103.6,159.2,537.6,112.6,518.8,10.04,800.8,25.6,114.8,50.2,T2,55.6,2
TX004,17.9,46.7,1.155,97.2,124.9,4.329,-0.36,195.7,821.0,161.2,17.4,19.6,7.53,793.9,20.4,123.0,43.9,PD,49.7,3
TX004,17.9,43.9,0.674,76.7,88.4,0.097,-2.58,116.7,8.8,8.2,0.3,0.0,3.68,569.5,14.5,343.9,63.1,normal,82.1,1
TX005,24.0,27.9,0.705,61.9,74.5,0.018,0.77,123.5,2155.2,188.0,68.9,45.3,13.85,793.6,31.6,994.1,45.0,PD,40.5,3
TX005,24.0,17.5,0.843,56.8,73.5,0.016,-3.84,151.7,17.0,21.2,15.8,6.6,0.88,743.4,27.0,63.0,52.5,normal,78.9,1
TX005,24.0,14.0,0.686,47.3,59.3,0.003,0.39,121.1,19.6,10.9,7.5,5.0,0.05,857.3,28.1,38.1,38.4,normal,73.2,1
TX006,16.5,21.0,0.768,57.5,71.9,0.013,1.82,133.2,86.7,301.5,359.2,136.2,11.53,964.8,24.0,61.2,57.0,T1,65.0,2
TX006,16.5,17.7,0.978,61.9,83.2,0.052,-2.58,168.5,6.5,11.4,6.1,7.4,1.47,812.8,21.0,42.9,46.7,normal,82.1,1
TX007,40.6,14.9,0.787,52.0,67.0,0.007,3.56,129.1,14.1,11.5,15.3,12.9,1.56,1070.3,32.6,60.1,44.1,normal,69.8,2
TX007,40.6,29.3,0.464,53.7,60.1,0.003,-1.9,80.8,42.3,18.6,18.5,5.7,1.9,1372.7,32.3,54.4,44.9,normal,70.1,1
TX007,40.6,14.5,0.755,50.4,64.4,0.005,1.22,141.4,5174.9,404.0,82.6,82.4,25.92,1277.6,44.3,1625.8,36.6,PD,27.6,3
TX008,18.1,25.0,1.042,71.5,95.0,0.202,0.12,179.8,4.3,3.2,1.0,2.0,0.99,737.3,20.1,8.9,46.8,normal,85.6,0
TX008,18.1,30.3,0.808,68.2,83.9,0.057,-0.58,140.8,19.2,9.7,9.3,2.3,-1.0,707.8,22.2,64.8,51.9,normal,82.3,1
TX008,18.1,10.7,0.313,28.4,31.9,0.0,-1.84,53.8,230.0,560.7,151.5,1790.1,77.93,1150.1,25.5,48.0,50.4,T3,54.6,2
TX009,8.2,31.2,1.124,80.6,107.2,0.748,-2.35,192.9,2.8,6.7,1.4,3.9,0.02,269.7,17.2,31.0,55.3,normal,88.2,0
TX009,8.2,22.3,0.846,61.7,78.5,0.03,0.77,156.7,10.7,9.8,3.5,0.8,1.85,404.6,18.0,41.1,60.2,normal,87.1,0
TX009,8.2,33.7,0.611,64.0,74.0,0.017,4.26,110.4,670.9,93.0,22.7,8.4,0.81,247.9,12.7,372.8,50.5,PD,66.1,2
TX010,11.6,25.7,0.904,67.2,85.9,0.072,-0.12,157.4,9.2,10.5,1.7,3.3,4.3,542.6,21.1,67.6,57.2,normal,83.9,1
TX010,11.6,27.9,0.61,58.2,68.1,0.008,-4.38,101.9,14.3,10.5,6.7,2.5,0.93,494.8,19.1,35.6,47.6,normal,84.8,1
TX010,11.6,32.1,0.636,63.4,74.1,0.017,0.22,111.0,3.2,4.4,3.6,9.5,0.9,472.2,17.3,36.5,49.0,normal,86.4,0
TX011,29.7,38.7,0.586,68.0,77.4,0.026,-0.8,99.6,1751.9,561.8,77.4,83.3,11.13,1123.0,32.9,2495.2,39.4,PD,34.8,3
TX011,29.7,28.1,0.467,52.5,59.0,0.002,-0.56,81.3,26.2,9.4,16.1,2.3,0.87,840.3,22.0,39.7,49.9,normal,80.6,1
TX011,29.7,30.0,0.857,69.7,86.9,0.081,-0.16,151.5,302.1,698.5,784.9,205.5,9.04,1186.1,26.4,0.0,34.6,T1,47.6,3
TX011,29.7,17.1,0.96,60.7,81.3,0.042,0.42,160.7,27.1,11.6,7.2,8.2,0.72,861.7,25.1,24.0,49.9,normal,80.3,1
TX012,37.8,2.3,0.549,30.2,38.6,0.0,0.55,101.3,22.4,8.1,16.7,15.6,1.46,1126.5,30.7,19.1,53.1,normal,76.6,1
TX012,37.8,20.2,0.45,43.9,50.1,0.001,-1.38,77.2,12.6,12.4,9.7,10.9,0.91,1042.2,31.8,109.8,42.1,normal,68.5,2
TX012,37.8,30.9,0.87,71.1,88.7,0.1,0.53,149.4,8.5,18.7,6.7,8.5,1.87,1242.1,26.5,74.2,38.6,normal,69.3,2
TX012,37.8,20.0,0.786,57.2,72.1,0.014,5.61,136.0,27.9,11.1,15.3,5.4,0.18,1324.6,25.6,139.0,32.9,normal,65.3,2
TX013,5.9,22.3,0.557,50.5,59.1,0.002,-3.81,98.0,10.1,6.2,0.3,3.9,3.34,388.2,10.9,69.2,,normal,89.3,0
TX013,5.9,40.6,0.745,76.2,89.9,0.115,-0.04,126.9,14.5,1.3,5.5,3.0,1.19,388.7,17.1,13.8,57.7,normal,90.3,0
TX013,5.9,23.3,0.439,46.6,52.4,0.001,0.77,82.3,1.1,6.1,2.4,3.5,1.37,397.2,9.4,80.8,52.8,normal,89.7,0
TX013,5.9,27.5,0.747,63.1,76.9,0.025,-0.93,131.9,11.1,6.5,7.4,1.1,0.52,329.6,15.4,32.6,66.8,normal,89.3,0
TX014,17.7,15.3,0.597,45.1,54.7,0.001,-0.49,106.5,846.0,195.1,27.4,11.7,4.86,774.3,18.3,644.7,44.3,PD,56.0,2
TX014,17.7,23.9,0.738,59.2,72.7,0.015,-2.03,134.8,1030.7,127.0,72.1,33.5,4.83,671.2,30.4,299.0,31.9,PD,38.1,3
TX014,17.7,30.9,0.552,58.9,67.4,0.007,-3.56,90.1,7.2,10.5,7.3,5.9,0.01,704.9,19.4,79.2,57.9,normal,83.3,1
TX014,17.7,7.3,0.8,44.9,60.3,0.003,3.93,144.7,280.6,781.6,286.2,532.8,9.35,958.0,23.1,188.8,40.7,T2,50.3,3
TX015,11.9,28.0,1.03,74.1,97.1,0.256,3.8,187.6,14.4,9.4,7.7,4.2,2.59,538.0,13.3,146.0,50.2,normal,85.5,0
TX015,11.9,36.2,0.782,73.1,88.0,0.092,0.03,137.9,12.1,2.6,6.9,3.5,1.83,525.8,15.2,84.2,65.6,normal,86.0,0
TX015,11.9,22.2,0.564,50.6,59.4,0.003,2.26,98.7,10.3,3.9,1.4,4.7,0.84,369.6,15.1,94.5,61.6,normal,85.9,0
TX015,11.9,14.2,0.849,53.7,70.6,0.011,0.56,146.3,13.0,11.4,9.2,3.0,1.74,501.7,16.4,30.0,55.6,normal,87.5,0
TX016,14.2,26.5,0.552,54.4,62.9,0.004,-5.88,97.8,9.6,13.1,2.0,2.1,2.7,593.1,17.0,0.0,55.0,normal,84.2,1
TX016,14.2,13.8,0.704,47.8,60.4,0.003,-0.21,123.7,8.1,3.9,5.0,7.6,3.15,560.2,24.5,153.6,55.8,normal,80.5,1
TX016,14.2,52.6,0.95,95.8,116.1,1.845,0.93,156.6,8.4,11.2,4.9,2.4,1.68,593.3,18.0,57.0,55.7,normal,82.5,1
TX017,28.0,17.8,0.946,60.8,80.9,0.04,-4.31,165.5,240.2,567.6,197.6,2426.7,90.22,1222.5,34.6,12.0,38.8,T3,44.2,3
TX017,28.0,26.0,0.97,69.9,90.9,0.128,-1.23,167.6,857.7,264.4,85.1,599.0,1740.09,910.0,21.7,481.0,30.0,D1,37.2,3
TX017,28.0,17.9,0.608,48.1,58.0,0.002,-2.81,106.5,2795.7,180.7,91.4,55.5,12.51,1091.8,29.0,721.7,49.0,PD,44.4,3
TX018,10.8,18.4,0.977,62.6,83.8,0.056,-0.37,180.7,16.2,11.4,6.9,6.6,-1.0,472.8,11.5,30.2,57.7,normal,89.5,0
TX018,10.8,27.7,0.734,62.8,76.2,0.023,2.07,131.7,10.8,6.3,6.7,6.1,2.79,529.3,17.3,42.3,51.4,normal,86.6,0
TX018,10.8,32.0,0.878,72.5,90.4,0.121,1.05,148.3,16.4,7.3,4.1,4.0,4.39,535.9,2.0,61.7,48.5,normal,87.8,0
TX019,13.6,44.2,0.78,81.1,95.8,0.222,2.03,136.6,14.2,13.5,6.4,0.9,0.07,569.3,11.0,26.8,54.6,normal,89.6,0
TX019,13.6,29.6,0.58,58.7,67.9,0.008,0.82,103.4,106.2,340.3,79.4,487.7,36.18,832.1,14.7,75.3,50.5,T3,64.0,2
TX019,13.6,27.0,0.719,61.6,74.6,0.018,0.29,129.0,9.3,10.6,11.1,8.4,2.32,562.6,17.9,49.0,59.7,normal,85.5,0
TX020,19.5,24.0,0.848,63.5,80.4,0.037,-2.25,148.6,19.7,7.4,10.7,5.7,1.67,858.1,17.7,21.7,44.9,normal,83.0,1
TX020,19.5,27.1,0.843,66.3,83.1,0.052,0.45,145.3,1167.2,193.4,7.0,19.5,1.71,731.5,23.4,1059.5,52.9,PD,55.3,2
